source,model_key,N,mode,lr,epochs,max_train_pairs,eval_pairs,eval_scope,temperature,window_size,PCK@0.05,PCK@0.1,PCK@0.15,PCK@0.2,total_keypoints,total_image_pairs
summary_per_keypoint_pck,dinov2_vitl14,0,argmax,,,,,,,,38.56647948555380,55.47957612535100,64.62050538900460,71.05221447332670,88328,12234
summary_per_keypoint_pck,dinov3_vitb16,0,argmax,,,,,,,,36.658817136129000,53.56738520061590,62.68906801920120,68.36903360202880,88328,12234
summary_per_keypoint_pck,sam_vit_b_res1024,0,argmax,,,,,,,,15.650756272076800,24.42034236029350,31.75210578751930,38.15211484466990,88328,12234
summary_finetune_sorted,dinov2_vitl14,1,,5E-06,3,53340,12234,full_test,,,56.63549497328140,71.51978987410560,77.73412734353770,81.64908069921200,,
summary_finetune_sorted,dinov2_vitl14,2,,5E-06,3,53340,12234,full_test,,,50.569468345258600,65.62924553935330,72.63042296893400,76.88954804818400,,
summary_finetune_sorted,dinov2_vitl14,4,,5E-06,3,53340,12234,full_test,,,58.11747124354680,72.85005887147900,78.87306403405490,82.29440268091660,,
summary_finetune_sorted,dinov3_vitb16,1,,5E-06,3,53340,12234,full_test,,,55.69468345258580,73.43537723032330,80.55769404945200,84.81795127252970,,
summary_finetune_sorted,dinov3_vitb16,2,,5E-06,3,53340,12234,full_test,,,56.80758083506930,74.47694955167100,81.33208042749750,85.34213386468620,,
summary_finetune_sorted,dinov3_vitb16,4,,5E-06,3,53340,12234,full_test,,,50.28416810071550,66.4364640883978,73.27008423150080,77.36731274341090,,
summary_finetune_sorted,sam_vit_b_res1024,1,,5E-06,3,53340,12234,full_test,,,31.54831989855990,42.33085771216380,50.303414545783900,56.3558554478761,,
summary_finetune_sorted,sam_vit_b_res1024,2,,5E-06,3,53340,12234,full_test,,,33.028031881170200,44.06756634362830,51.877094466081000,58.061996195996700,,
summary_finetune_sorted,sam_vit_b_res1024,4,,5E-06,3,53340,12234,full_test,,,29.631600398514600,40.29526311022550,47.93496965854540,53.84815686984870,,
stage3_summary,dinov2_vitl14,4,argmax,,,,,,,,58.11747124354680,72.85005887147900,78.87306403405490,82.29440268091660,,
stage3_summary,dinov2_vitl14,4,softargmax,,,,,,0.05,7.0,59.31414726926910,73.49424870935600,79.18213929897650,82.53668146001270,,
stage3_summary,dinov3_vitb16,2,argmax,,,,,,,,56.80758083506930,74.47694955167100,81.33208042749750,85.34213386468620,,
stage3_summary,dinov3_vitb16,2,softargmax,,,,,,0.05,7.0,59.27225794764970,76.4061226338194,82.75631736255770,86.01462729825200,,
stage3_summary,sam_vit_b_res1024,2,argmax,,,,,,,,33.028031881170200,44.07775563807630,51.89181233583920,58.07331763427230,,
stage3_summary,sam_vit_b_res1024,2,softargmax,,,,,,0.05,11.0,33.69599673942580,46.023910877637900,53.128113395525800,58.934879087039200,,
