category,total_pairs,total_kps,PCK@0.05,PCK@0.1,PCK@0.15,PCK@0.2
aeroplane,690,5502,59.469283896764814,72.2464558342421,79.77099236641222,83.56961105052709
bicycle,650,3866,44.30936368339369,66.21831350232799,72.7884117951371,77.90998448008277
bird,702,4348,64.97240110395585,83.71665133394664,90.45538178472862,93.8822447102116
boat,702,3386,22.62256349675133,40.51978735971648,50.94506792675723,59.037212049616066
bottle,870,6422,27.26564933042666,46.807848022422924,57.70787916536904,66.86390532544378
bus,644,4478,41.22376060741402,54.75658776239393,61.5676641357749,65.74363555158553
car,564,3592,36.33073496659243,50.0,56.1804008908686,61.69265033407572
cat,600,6198,58.71248789932236,68.6511777992901,76.49241690868021,82.04259438528558
chair,646,3652,22.782037239868565,35.8433734939759,43.70208105147864,50.41073384446879
cow,640,5358,46.95782008212019,67.80515117581187,76.78238148562896,82.28816722657709
dog,600,4802,45.397750937109535,63.30695543523532,73.40691378592253,79.63348604748022
horse,600,4704,42.0280612244898,63.499149659863946,75.61649659863946,82.65306122448979
motorbike,702,3402,46.44326866549089,65.69664902998237,75.896531452087,80.59964726631394
person,650,4296,42.993482309124765,64.57169459962756,72.32309124767225,78.18901303538175
pottedplant,862,4516,13.153232949512843,26.594331266607618,38.19751992914083,47.807794508414524
sheep,664,3800,40.44736842105263,61.68421052631579,70.23684210526316,75.89473684210526
train,756,8660,34.52655889145497,52.99076212471132,65.09237875288683,73.93764434180139
tvmonitor,692,7346,12.183501225156547,24.993193574734548,33.800707868227605,41.11080860332154
mean,,,38.989962607222324,56.105682916733684,65.05350884725974,71.2926072681768
