category,total_pairs,total_kps,PCK@0.05,PCK@0.1,PCK@0.15,PCK@0.2
aeroplane,690,5502,41.475826972010175,55.016357688113416,63.30425299890949,67.75717920756088
bicycle,650,3866,33.729953440248316,48.37040869115365,57.32022762545267,63.760993274702535
bird,702,4348,55.082796688132476,76.44894204231831,84.56761729530818,87.87948482060717
boat,702,3386,14.973419964559953,26.22563496751329,34.87891317188423,41.93738924985233
bottle,870,6422,32.23294923699782,47.928994082840234,55.54344440984117,62.42603550295858
bus,644,4478,36.57882983474766,48.6154533273783,55.27020991514069,59.06654756587763
car,564,3592,34.88307349665924,49.91648106904232,55.54008908685969,60.05011135857461
cat,600,6198,60.100032268473704,70.32913843175218,76.75056469828976,80.8002581477896
chair,646,3652,25.711938663745894,37.431544359255206,44.27710843373494,49.69879518072289
cow,640,5358,47.31243001119821,64.81896229936544,75.28928704740575,80.29115341545352
dog,600,4802,37.23448563098709,53.082049146189085,64.57725947521865,69.92919616826322
horse,600,4704,34.94897959183673,54.78316326530612,65.17857142857143,71.85374149659864
motorbike,702,3402,27.60141093474427,45.88477366255144,56.290417401528515,62.786596119929456
person,650,4296,37.68621973929236,59.56703910614525,68.80819366852886,74.83705772811918
pottedplant,862,4516,21.257750221434897,42.44906997342781,54.34012400354296,61.51461470327724
sheep,664,3800,33.05263157894737,51.3421052631579,61.28947368421053,68.42105263157895
train,756,8660,39.480369515011546,57.75981524249423,67.459584295612,73.41801385681293
tvmonitor,692,7346,28.68227606860877,52.3141845902532,64.07568744895181,70.70514565750068
mean,,,35.66807632542425,52.349117622680964,61.375612560499526,67.06296478256554
