category,total_pairs,total_kps,PCK@0.05,PCK@0.1,PCK@0.15,PCK@0.2
aeroplane,690,5502,18.974918211559434,26.899309342057435,34.86005089058524,41.18502362777172
bicycle,650,3866,9.803414381789963,15.985514743921366,21.65028453181583,27.263321262286603
bird,702,4348,20.400183992640294,31.71573137074517,39.0524379024839,45.97516099356026
boat,702,3386,10.070880094506792,17.601890135853516,24.483165977554638,31.836975782634376
bottle,870,6422,15.571473061351604,25.41264403612582,32.964808470881344,40.00311429461227
bus,644,4478,14.582402858418938,19.763287181777578,24.519874944171505,29.566770879857078
car,564,3592,15.17260579064588,21.770601336302896,26.920935412026726,32.65590200445434
cat,600,6198,26.782833171990966,38.12520167796063,47.579864472410456,53.920619554695065
chair,646,3652,9.282584884994524,13.745892661555311,18.044906900328588,22.508214676889377
cow,640,5358,18.234415826801044,25.270623366927957,32.717431877566256,39.38036580813736
dog,600,4802,13.036234902124114,21.282798833819243,29.404414827155353,35.755935027072056
horse,600,4704,9.863945578231293,16.75170068027211,22.831632653061224,29.017857142857142
motorbike,702,3402,8.935920047031159,16.519694297472075,22.281011169900058,27.807172251616695
person,650,4296,20.577281191806332,33.24022346368715,42.24860335195531,48.60335195530726
pottedplant,862,4516,12.511071744906998,22.564216120460586,28.100088573959255,32.81665190434013
sheep,664,3800,8.0,14.947368421052632,20.63157894736842,25.973684210526315
train,756,8660,20.727482678983833,31.91685912240185,42.020785219399535,51.0161662817552
tvmonitor,692,7346,14.388783011162538,24.88429077048734,33.623740811325895,40.280424720936566
mean,,,14.828690634941426,23.24432486460448,30.218645385219425,36.420372909961664
