category,total_pairs,total_kps,PCK@0.05,PCK@0.1,PCK@0.15,PCK@0.2
aeroplane,690,5502,30.407125,40.185387,49.454744,55.525264
bicycle,650,3866,15.002587,23.357475,30.807036,37.092602
bird,702,4348,36.200552,52.322907,60.441582,66.352346
boat,702,3386,17.513290,26.432369,34.111045,40.313054
bottle,870,6422,23.217066,33.603239,41.202118,47.601993
bus,644,4478,36.221527,42.206342,46.002680,49.575703
car,564,3592,28.897550,35.968820,41.926503,45.851893
cat,600,6198,48.967409,58.067118,64.940303,69.893514
chair,646,3652,16.018620,19.194962,22.699890,26.779847
cow,640,5358,32.829414,44.774169,54.162001,61.496827
dog,600,4802,26.967930,36.068305,43.627655,49.687630
horse,600,4704,21.619898,30.846088,39.987245,47.278912
motorbike,702,3402,15.049971,23.603762,30.364491,36.302175
person,650,4296,31.587523,45.181564,52.676909,58.566108
pottedplant,862,4516,20.239150,33.392383,41.364039,46.811337
sheep,664,3800,19.736842,30.000000,37.657895,44.052632
train,756,8660,51.200924,64.653580,72.609700,78.672055
tvmonitor,692,7346,26.463381,42.131772,51.973863,58.984481
mean,,,27.674487,37.888347,45.333872,51.157687
