category,total_pairs,total_kps,PCK@0.05,PCK@0.1,PCK@0.15,PCK@0.2
aeroplane,690,5502,60.505271,70.501636,77.117412,81.643039
bicycle,650,3866,40.584584,56.880497,63.786860,68.727367
bird,702,4348,60.947562,78.817847,84.383625,86.591536
boat,702,3386,29.297106,43.709392,53.130538,59.214412
bottle,870,6422,41.809405,56.290875,61.631890,65.929617
bus,644,4478,62.103618,75.234480,79.522108,81.978562
car,564,3592,57.739421,70.378619,76.057906,78.591314
cat,600,6198,73.120361,80.445305,84.430461,87.092611
chair,646,3652,34.364732,43.455641,48.110624,51.834611
cow,640,5358,60.806271,78.742068,85.516984,89.324375
dog,600,4802,51.811745,66.368180,73.573511,77.613494
horse,600,4704,45.174320,61.798469,70.982143,77.062075
motorbike,702,3402,34.391534,51.234568,59.082892,65.108760
person,650,4296,43.040037,61.359404,69.157356,74.068901
pottedplant,862,4516,31.510186,49.889283,58.503100,63.396811
sheep,664,3800,38.605263,56.657895,64.947368,70.868421
train,756,8660,61.489607,80.819861,87.390300,90.912240
tvmonitor,692,7346,46.869044,75.074871,84.222706,87.598693
mean,,,48.565004,64.314383,71.197099,75.419824
