category,total_pairs,total_kps,PCK@0.05,PCK@0.1,PCK@0.15,PCK@0.2
aeroplane,690,5502,76.862959,85.932388,89.531080,91.494002
bicycle,650,3866,50.129333,65.856182,71.546818,75.297465
bird,702,4348,72.447102,87.373505,91.283349,93.054278
boat,702,3386,35.853514,55.493207,64.294152,70.880095
bottle,870,6422,41.996263,57.380878,65.727188,70.616630
bus,644,4478,70.835194,84.234033,87.874051,89.749888
car,564,3592,64.393096,75.278396,79.120267,81.876392
cat,600,6198,83.962569,89.964505,92.110358,93.401097
chair,646,3652,49.589266,63.116101,68.099671,71.276013
cow,640,5358,73.012318,87.569989,91.209406,93.150429
dog,600,4802,63.286131,76.738859,81.320283,84.298209
horse,600,4704,62.287415,76.892007,84.013605,88.031463
motorbike,702,3402,52.116402,65.196943,72.310406,76.984127
person,650,4296,53.910615,69.692737,75.093110,78.328678
pottedplant,862,4516,32.550930,49.158547,58.680248,63.662533
sheep,664,3800,54.815789,72.684211,79.500000,82.263158
train,756,8660,63.752887,80.484988,86.766744,89.919169
tvmonitor,692,7346,34.876123,57.105908,68.336510,74.312551
mean,,,57.593217,72.230744,78.156514,81.588677
