category,total_pairs,total_kps,PCK@0.05,PCK@0.1,PCK@0.15,PCK@0.2
aeroplane,690,5502,77.935296,86.677572,89.694656,91.548528
bicycle,650,3866,53.724780,67.382307,72.322814,75.763063
bird,702,4348,73.804048,87.925483,91.306348,93.123275
boat,702,3386,37.182516,55.729474,64.855286,71.352628
bottle,870,6422,42.401121,57.552164,66.209903,70.803488
bus,644,4478,72.130415,85.060295,88.097365,89.839214
car,564,3592,65.924276,75.612472,79.621381,82.071269
cat,600,6198,84.833817,90.158116,92.207164,93.449500
chair,646,3652,49.644031,63.006572,68.373494,71.686747
cow,640,5358,75.158641,87.663307,91.358716,93.187757
dog,600,4802,63.785923,76.634736,81.361933,84.381508
horse,600,4704,62.988946,78.443878,84.396259,88.307823
motorbike,702,3402,53.174603,65.637860,72.839506,77.660200
person,650,4296,54.585661,70.251397,75.465549,78.770950
pottedplant,862,4516,32.838795,50.442870,59.278122,64.127547
sheep,664,3800,56.157895,73.421053,79.289474,82.236842
train,756,8660,65.138568,81.605081,87.286374,90.023095
tvmonitor,692,7346,36.768309,58.113259,68.513477,74.897904
mean,,,58.787647,72.850994,78.470990,81.846185
