category,total_pairs,total_kps,PCK@0.05,PCK@0.1,PCK@0.15,PCK@0.2
aeroplane,690,5502,62.940749,73.809524,80.679753,84.587423
bicycle,650,3866,47.594413,63.450595,71.029488,76.616658
bird,702,4348,68.422263,86.361546,91.904324,93.882245
boat,702,3386,38.038984,54.016539,63.821618,70.378027
bottle,870,6422,46.387418,63.796325,70.383058,75.474930
bus,644,4478,64.314426,77.266637,80.638678,82.447521
car,564,3592,61.553452,73.468820,78.173719,81.319599
cat,600,6198,77.395934,84.624072,88.835108,91.771539
chair,646,3652,40.909091,50.684556,55.449069,58.871851
cow,640,5358,67.413214,84.266517,90.556178,93.896976
dog,600,4802,58.954602,74.614744,81.528530,85.985006
horse,600,4704,52.721088,74.851190,83.035714,87.988946
motorbike,702,3402,48.589065,67.460317,76.072898,80.834803
person,650,4296,51.396648,72.811918,80.330540,85.684358
pottedplant,862,4516,40.566873,67.869796,79.340124,85.473871
sheep,664,3800,47.473684,68.552632,77.473684,83.263158
train,756,8660,67.817552,87.286374,93.002309,95.866051
tvmonitor,692,7346,53.866050,83.351484,91.668935,94.554860
mean,,,55.353084,72.696866,79.662429,83.827657
