category,total_pairs,total_kps,PCK@0.05,PCK@0.1,PCK@0.15,PCK@0.2
aeroplane,690,5502,63.667757,75.826972,81.388586,85.023628
bicycle,650,3866,49.534402,66.270047,73.435075,77.832385
bird,702,4348,72.861086,87.902484,92.916283,94.687213
boat,702,3386,37.684584,54.843473,64.707620,71.529829
bottle,870,6422,48.458424,64.263469,71.675491,76.113360
bus,644,4478,66.502903,78.517195,81.129969,82.782492
car,564,3592,64.253898,74.749443,79.008909,81.625835
cat,600,6198,78.993224,85.753469,90.141981,92.061955
chair,646,3652,39.403067,51.341731,55.887185,59.309967
cow,640,5358,69.447555,87.271370,92.273236,94.176932
dog,600,4802,61.578509,77.363599,83.090379,87.088713
horse,600,4704,55.208333,77.465986,85.204082,88.711735
motorbike,702,3402,52.439741,69.723692,77.307466,81.863610
person,650,4296,54.888268,75.418994,83.170391,86.987896
pottedplant,862,4516,42.936227,71.235607,81.953056,86.979628
sheep,664,3800,50.105263,70.868421,79.842105,84.026316
train,756,8660,72.101617,88.752887,93.960739,96.281755
tvmonitor,692,7346,57.922679,85.951538,92.975769,94.854342
mean,,,57.665974,74.640021,81.114907,84.552088
