category,total_pairs,total_kps,PCK@0.05,PCK@0.1,PCK@0.15,PCK@0.2
aeroplane,690,5502,36.7139222101,45.6197746274,52.9262086514,59.1603053435
bicycle,650,3866,22.0382824625,30.8329022245,36.9891360579,43.1712364201
bird,702,4348,50.8509659614,67.9162833487,75.643974241,81.5777368905
boat,702,3386,23.0950974601,32.1618428825,38.8659184879,44.6544595393
bottle,870,6422,26.7829336655,36.9666770476,44.7991279975,51.6194331984
bus,644,4478,37.293434569,43.1442608307,46.4493077267,49.8660116123
car,564,3592,30.8741648107,37.6670378619,42.065701559,46.4643652561
cat,600,6198,48.9996773153,61.7618586641,68.3284930623,72.1684414327
chair,646,3652,23.3296823658,27.2727272727,29.7097480832,33.6254107338
cow,640,5358,37.1220604703,49.3094438223,56.9428891377,62.9712579321
dog,600,4802,30.1957517701,43.3569346106,50.5622657226,56.5181174511
horse,600,4704,28.550170068,41.0714285714,48.5544217687,54.9319727891
motorbike,702,3402,22.9276895944,32.8336272781,38.3009994121,43.0922986479
person,650,4296,36.4990689013,53.8407821229,61.1266294227,67.9236499069
pottedplant,862,4516,29.9158547387,46.8113374668,54.4508414526,59.4552701506
sheep,664,3800,22,36.8421052632,45.3157894737,52.4736842105
train,756,8660,46.5819861432,61.9053117783,69.9422632794,76.5357967667
tvmonitor,692,7346,29.3901442962,47.154914239,58.0179689627,65.2327797441
mean,,,32.3978270446,44.2482916618,51.0550935833,56.7467904459
