backbone,condition,category,PCK@0.1
dinov2_vitl14,ft_N4_softargmax,car,95.04
dinov2_vitl14,ft_N4_softargmax,bottle,89.88
dinov2_vitl14,ft_N4_softargmax,cat,89.60
dinov2_vitl14,ft_N4_softargmax,aeroplane,88.74
dinov2_vitl14,ft_N4_softargmax,bus,88.69
dinov2_vitl14,ft_N4_softargmax,horse,88.42
dinov2_vitl14,ft_N4_softargmax,cow,88.37
dinov2_vitl14,ft_N4_softargmax,bicycle,88.14
dinov2_vitl14,ft_N4_softargmax,bird,85.87
dinov2_vitl14,ft_N4_softargmax,dog,84.75
dinov2_vitl14,ft_N4_softargmax,motorbike,82.64
dinov2_vitl14,ft_N4_softargmax,sheep,78.57
dinov2_vitl14,ft_N4_softargmax,train,78.56
dinov2_vitl14,ft_N4_softargmax,tvmonitor,78.36
dinov2_vitl14,ft_N4_softargmax,person,78.23
dinov2_vitl14,ft_N4_softargmax,boat,74.50
dinov2_vitl14,ft_N4_softargmax,chair,73.46
dinov2_vitl14,ft_N4_softargmax,sofa,68.00
dinov2_vitl14,ft_N4_softargmax,pottedplant,64.57
dinov2_vitl14,ft_N4_softargmax,diningtable,54.32
dinov3_vitb16,ft_N2_softargmax,cat,93.50
dinov3_vitb16,ft_N2_softargmax,car,93.50
dinov3_vitb16,ft_N2_softargmax,bus,91.32
dinov3_vitb16,ft_N2_softargmax,bicycle,91.29
dinov3_vitb16,ft_N2_softargmax,sheep,90.00
dinov3_vitb16,ft_N2_softargmax,cow,89.42
dinov3_vitb16,ft_N2_softargmax,bird,88.84
dinov3_vitb16,ft_N2_softargmax,aeroplane,88.75
dinov3_vitb16,ft_N2_softargmax,bottle,88.39
dinov3_vitb16,ft_N2_softargmax,horse,88.09
dinov3_vitb16,ft_N2_softargmax,dog,87.70
dinov3_vitb16,ft_N2_softargmax,train,85.76
dinov3_vitb16,ft_N2_softargmax,tvmonitor,85.72
dinov3_vitb16,ft_N2_softargmax,motorbike,84.82
dinov3_vitb16,ft_N2_softargmax,pottedplant,83.48
dinov3_vitb16,ft_N2_softargmax,person,79.55
dinov3_vitb16,ft_N2_softargmax,boat,76.49
dinov3_vitb16,ft_N2_softargmax,chair,73.08
dinov3_vitb16,ft_N2_softargmax,sofa,64.22
dinov3_vitb16,ft_N2_softargmax,diningtable,44.58
sam_vit_b_res1024,ft_N2_softargmax,bus,65.15
sam_vit_b_res1024,ft_N2_softargmax,bottle,61.61
sam_vit_b_res1024,ft_N2_softargmax,bird,59.48
sam_vit_b_res1024,ft_N2_softargmax,car,57.93
sam_vit_b_res1024,ft_N2_softargmax,aeroplane,56.55
sam_vit_b_res1024,ft_N2_softargmax,tvmonitor,54.18
sam_vit_b_res1024,ft_N2_softargmax,cow,53.94
sam_vit_b_res1024,ft_N2_softargmax,bicycle,51.90
sam_vit_b_res1024,ft_N2_softargmax,pottedplant,49.76
sam_vit_b_res1024,ft_N2_softargmax,person,49.61
sam_vit_b_res1024,ft_N2_softargmax,motorbike,48.89
sam_vit_b_res1024,ft_N2_softargmax,horse,48.81
sam_vit_b_res1024,ft_N2_softargmax,boat,48.12
sam_vit_b_res1024,ft_N2_softargmax,train,46.36
sam_vit_b_res1024,ft_N2_softargmax,sheep,44.29
sam_vit_b_res1024,ft_N2_softargmax,cat,40.57
sam_vit_b_res1024,ft_N2_softargmax,chair,38.70
sam_vit_b_res1024,ft_N2_softargmax,dog,35.51
sam_vit_b_res1024,ft_N2_softargmax,sofa,33.21
sam_vit_b_res1024,ft_N2_softargmax,diningtable,29.24
