category,src_image,trg_image,total_kps,PCK@0.05,PCK@0.1,PCK@0.15,PCK@0.2
car(G),car(G)/Cars_006a.png,car(G)/Cars_007a.png,10,50.0,70.0,100.0,100.0
car(G),car(G)/Cars_007a.png,car(G)/Cars_008b.png,10,70.0,90.0,90.0,90.0
car(G),car(G)/Cars_008b.png,car(G)/Cars_009b.png,10,70.0,90.0,90.0,90.0
car(G),car(G)/Cars_009b.png,car(G)/Cars_013b.png,10,60.0,90.0,100.0,100.0
car(G),car(G)/Cars_013b.png,car(G)/Cars_017a.png,10,50.0,80.0,100.0,100.0
car(G),car(G)/Cars_017a.png,car(G)/Cars_017b.png,10,60.0,80.0,90.0,90.0
car(G),car(G)/Cars_017b.png,car(G)/Cars_019a.png,10,70.0,100.0,100.0,100.0
car(G),car(G)/Cars_019a.png,car(G)/Cars_019b.png,10,70.0,90.0,90.0,100.0
car(G),car(G)/Cars_019b.png,car(G)/Cars_022a.png,10,40.0,80.0,90.0,90.0
car(M),car(M)/Cars_000a.png,car(M)/Cars_004b.png,10,70.0,90.0,90.0,90.0
car(M),car(M)/Cars_004b.png,car(M)/Cars_006a.png,10,60.0,60.0,80.0,80.0
car(M),car(M)/Cars_006a.png,car(M)/Cars_008a.png,10,20.0,60.0,80.0,80.0
car(M),car(M)/Cars_008a.png,car(M)/Cars_013b.png,10,70.0,80.0,80.0,80.0
car(M),car(M)/Cars_013b.png,car(M)/Cars_014b.png,10,40.0,70.0,90.0,90.0
car(M),car(M)/Cars_014b.png,car(M)/Cars_015a.png,10,90.0,100.0,100.0,100.0
car(M),car(M)/Cars_015a.png,car(M)/Cars_017a.png,10,70.0,90.0,90.0,90.0
car(M),car(M)/Cars_017a.png,car(M)/Cars_017b.png,10,60.0,80.0,90.0,90.0
car(M),car(M)/Cars_017b.png,car(M)/Cars_022a.png,10,70.0,80.0,90.0,100.0
car(S),car(S)/Cars_000a.png,car(S)/Cars_001b.png,10,70.0,90.0,90.0,100.0
car(S),car(S)/Cars_001b.png,car(S)/Cars_004b.png,10,70.0,100.0,100.0,100.0
car(S),car(S)/Cars_004b.png,car(S)/Cars_008a.png,10,70.0,90.0,100.0,100.0
car(S),car(S)/Cars_008a.png,car(S)/Cars_014a.png,10,60.0,90.0,90.0,90.0
car(S),car(S)/Cars_014a.png,car(S)/Cars_014b.png,10,100.0,100.0,100.0,100.0
car(S),car(S)/Cars_014b.png,car(S)/Cars_015a.png,10,90.0,100.0,100.0,100.0
car(S),car(S)/Cars_015a.png,car(S)/Cars_028a.png,10,80.0,90.0,90.0,90.0
car(S),car(S)/Cars_028a.png,car(S)/Cars_028b.png,10,60.0,90.0,100.0,100.0
car(S),car(S)/Cars_028b.png,car(S)/Cars_031.png,10,40.0,70.0,90.0,90.0
duck(S),duck(S)/060_0000.png,duck(S)/060_0002.png,10,50.0,80.0,80.0,90.0
duck(S),duck(S)/060_0002.png,duck(S)/060_0005.png,10,60.0,90.0,100.0,100.0
duck(S),duck(S)/060_0005.png,duck(S)/060_0010.png,10,60.0,90.0,100.0,100.0
duck(S),duck(S)/060_0010.png,duck(S)/060_0013.png,10,80.0,90.0,100.0,100.0
duck(S),duck(S)/060_0013.png,duck(S)/060_0026.png,10,70.0,80.0,90.0,100.0
duck(S),duck(S)/060_0026.png,duck(S)/060_0030.png,10,60.0,90.0,100.0,100.0
duck(S),duck(S)/060_0030.png,duck(S)/060_0036.png,10,70.0,80.0,100.0,100.0
duck(S),duck(S)/060_0036.png,duck(S)/060_0044.png,10,80.0,90.0,90.0,100.0
duck(S),duck(S)/060_0044.png,duck(S)/060_0071.png,10,70.0,100.0,100.0,100.0
motorbike(G),motorbike(G)/Motorbikes_001a.png,motorbike(G)/Motorbikes_002a.png,10,50.0,90.0,90.0,100.0
motorbike(G),motorbike(G)/Motorbikes_002a.png,motorbike(G)/Motorbikes_003b.png,10,30.0,60.0,90.0,100.0
motorbike(G),motorbike(G)/Motorbikes_003b.png,motorbike(G)/Motorbikes_011a.png,10,30.0,70.0,100.0,100.0
motorbike(G),motorbike(G)/Motorbikes_011a.png,motorbike(G)/Motorbikes_015a.png,10,60.0,70.0,80.0,100.0
motorbike(G),motorbike(G)/Motorbikes_015a.png,motorbike(G)/Motorbikes_020.png,10,30.0,60.0,60.0,80.0
motorbike(G),motorbike(G)/Motorbikes_020.png,motorbike(G)/Motorbikes_023.png,10,70.0,100.0,100.0,100.0
motorbike(G),motorbike(G)/Motorbikes_023.png,motorbike(G)/Motorbikes_038.png,10,90.0,100.0,100.0,100.0
motorbike(G),motorbike(G)/Motorbikes_038.png,motorbike(G)/Motorbikes_039.png,10,50.0,90.0,90.0,90.0
motorbike(G),motorbike(G)/Motorbikes_039.png,motorbike(G)/Motorbikes_040.png,10,50.0,60.0,80.0,90.0
motorbike(M),motorbike(M)/Motorbikes_003b.png,motorbike(M)/Motorbikes_007a.png,10,50.0,80.0,90.0,100.0
motorbike(M),motorbike(M)/Motorbikes_007a.png,motorbike(M)/Motorbikes_010b.png,10,50.0,90.0,100.0,100.0
motorbike(M),motorbike(M)/Motorbikes_010b.png,motorbike(M)/Motorbikes_015a.png,10,50.0,90.0,90.0,90.0
motorbike(M),motorbike(M)/Motorbikes_015a.png,motorbike(M)/Motorbikes_020.png,10,30.0,60.0,60.0,80.0
motorbike(M),motorbike(M)/Motorbikes_020.png,motorbike(M)/Motorbikes_024.png,10,60.0,90.0,100.0,100.0
